exam_name,academic_year_label,subject_code,max_marks,pass_marks,exam_date
Unit Test 1,2026-27,CSE101,50,20,2026-08-01
Unit Test 1,2026-27,CSE102,50,20,2026-08-02
Unit Test 1,2026-27,CSE103,50,20,2026-08-03
Unit Test 1,2026-27,CSE104,50,20,2026-08-04
Unit Test 1,2026-27,CSE105,50,20,2026-08-05
Unit Test 1,2026-27,CSE201,50,20,2026-08-06
Unit Test 1,2026-27,CSE202,50,20,2026-08-07
Unit Test 1,2026-27,CSE203,50,20,2026-08-08
Unit Test 1,2026-27,CSE204,50,20,2026-08-09
Unit Test 1,2026-27,CSE205,50,20,2026-08-10
Unit Test 1,2026-27,AIML101,50,20,2026-08-11
Unit Test 1,2026-27,AIML102,50,20,2026-08-12
Unit Test 1,2026-27,AIML103,50,20,2026-08-13
Unit Test 1,2026-27,AIML104,50,20,2026-08-14
Unit Test 1,2026-27,AIML105,50,20,2026-08-15
Unit Test 1,2026-27,AIML201,50,20,2026-08-16
Unit Test 1,2026-27,AIML202,50,20,2026-08-17
Unit Test 1,2026-27,AIML203,50,20,2026-08-18
Unit Test 1,2026-27,AIML204,50,20,2026-08-19
Unit Test 1,2026-27,AIML205,50,20,2026-08-20
Unit Test 1,2026-27,ECE101,50,20,2026-08-21
Unit Test 1,2026-27,ECE102,50,20,2026-08-22
Unit Test 1,2026-27,ECE103,50,20,2026-08-23
Unit Test 1,2026-27,ECE104,50,20,2026-08-24
Unit Test 1,2026-27,ECE105,50,20,2026-08-01
Unit Test 1,2026-27,ECE201,50,20,2026-08-02
Unit Test 1,2026-27,ECE202,50,20,2026-08-03
Unit Test 1,2026-27,ECE203,50,20,2026-08-04
Unit Test 1,2026-27,ECE204,50,20,2026-08-05
Unit Test 1,2026-27,ECE205,50,20,2026-08-06
Unit Test 1,2026-27,MECH101,50,20,2026-08-07
Unit Test 1,2026-27,MECH102,50,20,2026-08-08
Mid Semester Examination,2026-27,CSE101,50,20,2026-09-09
Mid Semester Examination,2026-27,CSE102,50,20,2026-09-10
Mid Semester Examination,2026-27,CSE103,50,20,2026-09-11
Mid Semester Examination,2026-27,CSE104,50,20,2026-09-12
Mid Semester Examination,2026-27,CSE105,50,20,2026-09-13
Mid Semester Examination,2026-27,CSE201,50,20,2026-09-14
Mid Semester Examination,2026-27,CSE202,50,20,2026-09-15
Mid Semester Examination,2026-27,CSE203,50,20,2026-09-16
Mid Semester Examination,2026-27,CSE204,50,20,2026-09-17
Mid Semester Examination,2026-27,CSE205,50,20,2026-09-18
Mid Semester Examination,2026-27,AIML101,50,20,2026-09-19
Mid Semester Examination,2026-27,AIML102,50,20,2026-09-20
Mid Semester Examination,2026-27,AIML103,50,20,2026-09-21
Mid Semester Examination,2026-27,AIML104,50,20,2026-09-22
Mid Semester Examination,2026-27,AIML105,50,20,2026-09-23
Mid Semester Examination,2026-27,AIML201,50,20,2026-09-24
