barcode,book_title,roll_number,issued_on,due_date,status
LIB00002,Data Structures: Concepts and Applications Vol 1,CSE26A001,2026-07-02,2026-08-02,issued
LIB00003,Database Systems: Concepts and Applications Vol 1,CSE26B002,2026-07-03,2026-08-03,issued
LIB00004,Operating Systems: Concepts and Applications Vol 1,CSE26A003,2026-07-04,2026-08-04,issued
LIB00005,Computer Networks: Concepts and Applications Vol 1,CSE26B004,2026-07-05,2026-08-05,issued
LIB00006,Artificial Intelligence: Concepts and Applications Vol 1,AIML26A005,2026-07-06,2026-08-06,issued
LIB00007,Machine Learning: Concepts and Applications Vol 1,AIML26B006,2026-07-07,2026-08-07,issued
LIB00008,Cloud Computing: Concepts and Applications Vol 1,AIML26A007,2026-07-08,2026-08-08,returned
LIB00009,Digital Electronics: Concepts and Applications Vol 1,AIML26B008,2026-07-09,2026-08-09,issued
LIB00010,Engineering Mathematics: Concepts and Applications Vol 1,ECE26A009,2026-07-10,2026-08-10,issued
LIB00011,Business Management: Concepts and Applications Vol 1,ECE26B010,2026-07-11,2026-08-11,issued
LIB00012,Financial Accounting: Concepts and Applications Vol 1,ECE26A011,2026-07-12,2026-08-12,issued
LIB00013,Marketing Management: Concepts and Applications Vol 1,ECE26B012,2026-07-13,2026-08-13,issued
LIB00014,Business Law: Concepts and Applications Vol 1,MECH26A013,2026-07-14,2026-08-14,issued
LIB00015,Research Methodology: Concepts and Applications Vol 1,MECH26B014,2026-07-15,2026-08-15,returned
LIB00016,Programming: Concepts and Applications Vol 2,MECH26A015,2026-07-16,2026-08-16,issued
LIB00017,Data Structures: Concepts and Applications Vol 2,MECH26B016,2026-07-17,2026-08-17,issued
LIB00018,Database Systems: Concepts and Applications Vol 2,CA26A017,2026-07-18,2026-08-18,issued
LIB00019,Operating Systems: Concepts and Applications Vol 2,CA26B018,2026-07-19,2026-08-19,issued
LIB00020,Computer Networks: Concepts and Applications Vol 2,CA26A019,2026-07-20,2026-08-20,issued
LIB00021,Artificial Intelligence: Concepts and Applications Vol 2,CA26B020,2026-07-01,2026-08-01,issued
LIB00022,Machine Learning: Concepts and Applications Vol 2,BA26A021,2026-07-02,2026-08-02,returned
LIB00023,Cloud Computing: Concepts and Applications Vol 2,BA26B022,2026-07-03,2026-08-03,issued
LIB00024,Digital Electronics: Concepts and Applications Vol 2,BA26A023,2026-07-04,2026-08-04,issued
LIB00025,Engineering Mathematics: Concepts and Applications Vol 2,BA26B024,2026-07-05,2026-08-05,issued
LIB00026,Business Management: Concepts and Applications Vol 2,AT26A025,2026-07-06,2026-08-06,issued
LIB00027,Financial Accounting: Concepts and Applications Vol 2,AT26B026,2026-07-07,2026-08-07,issued
LIB00028,Marketing Management: Concepts and Applications Vol 2,AT26A027,2026-07-08,2026-08-08,issued
LIB00029,Business Law: Concepts and Applications Vol 2,AT26B028,2026-07-09,2026-08-09,returned
LIB00030,Research Methodology: Concepts and Applications Vol 2,SE26A029,2026-07-10,2026-08-10,issued
LIB00031,Programming: Concepts and Applications Vol 3,SE26B030,2026-07-11,2026-08-11,issued
LIB00032,Data Structures: Concepts and Applications Vol 3,SE26A031,2026-07-12,2026-08-12,issued
LIB00033,Database Systems: Concepts and Applications Vol 3,SE26B032,2026-07-13,2026-08-13,issued
LIB00034,Operating Systems: Concepts and Applications Vol 3,CSE26A033,2026-07-14,2026-08-14,issued
LIB00035,Computer Networks: Concepts and Applications Vol 3,CSE26B034,2026-07-15,2026-08-15,issued
LIB00036,Artificial Intelligence: Concepts and Applications Vol 3,CSE26A035,2026-07-16,2026-08-16,returned
LIB00037,Machine Learning: Concepts and Applications Vol 3,CSE26B036,2026-07-17,2026-08-17,issued
LIB00038,Cloud Computing: Concepts and Applications Vol 3,AIML26A037,2026-07-18,2026-08-18,issued
LIB00039,Digital Electronics: Concepts and Applications Vol 3,AIML26B038,2026-07-19,2026-08-19,issued
LIB00040,Engineering Mathematics: Concepts and Applications Vol 3,AIML26A039,2026-07-20,2026-08-20,issued
LIB00041,Business Management: Concepts and Applications Vol 3,AIML26B040,2026-07-01,2026-08-01,issued
LIB00042,Financial Accounting: Concepts and Applications Vol 3,ECE26A041,2026-07-02,2026-08-02,issued
LIB00043,Marketing Management: Concepts and Applications Vol 3,ECE26B042,2026-07-03,2026-08-03,returned
LIB00044,Business Law: Concepts and Applications Vol 3,ECE26A043,2026-07-04,2026-08-04,issued
LIB00045,Research Methodology: Concepts and Applications Vol 3,ECE26B044,2026-07-05,2026-08-05,issued
LIB00046,Programming: Concepts and Applications Vol 4,MECH26A045,2026-07-06,2026-08-06,issued
LIB00047,Data Structures: Concepts and Applications Vol 4,MECH26B046,2026-07-07,2026-08-07,issued
LIB00048,Database Systems: Concepts and Applications Vol 4,MECH26A047,2026-07-08,2026-08-08,issued
LIB00049,Operating Systems: Concepts and Applications Vol 4,MECH26B048,2026-07-09,2026-08-09,issued
LIB00050,Computer Networks: Concepts and Applications Vol 4,CA26A049,2026-07-10,2026-08-10,returned
LIB00051,Artificial Intelligence: Concepts and Applications Vol 4,CA26B050,2026-07-11,2026-08-11,issued
LIB00052,Machine Learning: Concepts and Applications Vol 4,CA26A051,2026-07-12,2026-08-12,issued
LIB00053,Cloud Computing: Concepts and Applications Vol 4,CA26B052,2026-07-13,2026-08-13,issued
LIB00054,Digital Electronics: Concepts and Applications Vol 4,BA26A053,2026-07-14,2026-08-14,issued
LIB00055,Engineering Mathematics: Concepts and Applications Vol 4,BA26B054,2026-07-15,2026-08-15,issued
LIB00056,Business Management: Concepts and Applications Vol 4,BA26A055,2026-07-16,2026-08-16,issued
LIB00057,Financial Accounting: Concepts and Applications Vol 4,BA26B056,2026-07-17,2026-08-17,returned
LIB00058,Marketing Management: Concepts and Applications Vol 4,AT26A057,2026-07-18,2026-08-18,issued
LIB00059,Business Law: Concepts and Applications Vol 4,AT26B058,2026-07-19,2026-08-19,issued
LIB00060,Research Methodology: Concepts and Applications Vol 4,AT26A059,2026-07-20,2026-08-20,issued
LIB00061,Programming: Concepts and Applications Vol 5,AT26B060,2026-07-01,2026-08-01,issued
LIB00062,Data Structures: Concepts and Applications Vol 5,SE26A061,2026-07-02,2026-08-02,issued
LIB00063,Database Systems: Concepts and Applications Vol 5,SE26B062,2026-07-03,2026-08-03,issued
LIB00064,Operating Systems: Concepts and Applications Vol 5,SE26A063,2026-07-04,2026-08-04,returned
LIB00065,Computer Networks: Concepts and Applications Vol 5,SE26B064,2026-07-05,2026-08-05,issued
LIB00066,Artificial Intelligence: Concepts and Applications Vol 5,CSE26A065,2026-07-06,2026-08-06,issued
LIB00067,Machine Learning: Concepts and Applications Vol 5,CSE26B066,2026-07-07,2026-08-07,issued
LIB00068,Cloud Computing: Concepts and Applications Vol 5,CSE26A067,2026-07-08,2026-08-08,issued
LIB00069,Digital Electronics: Concepts and Applications Vol 5,CSE26B068,2026-07-09,2026-08-09,issued
LIB00070,Engineering Mathematics: Concepts and Applications Vol 5,AIML26A069,2026-07-10,2026-08-10,issued
LIB00071,Business Management: Concepts and Applications Vol 5,AIML26B070,2026-07-11,2026-08-11,returned
LIB00072,Financial Accounting: Concepts and Applications Vol 5,AIML26A071,2026-07-12,2026-08-12,issued
LIB00073,Marketing Management: Concepts and Applications Vol 5,AIML26B072,2026-07-13,2026-08-13,issued
LIB00074,Business Law: Concepts and Applications Vol 5,ECE26A073,2026-07-14,2026-08-14,issued
LIB00075,Research Methodology: Concepts and Applications Vol 5,ECE26B074,2026-07-15,2026-08-15,issued
LIB00076,Programming: Concepts and Applications Vol 6,ECE26A075,2026-07-16,2026-08-16,issued
LIB00077,Data Structures: Concepts and Applications Vol 6,ECE26B076,2026-07-17,2026-08-17,issued
LIB00078,Database Systems: Concepts and Applications Vol 6,MECH26A077,2026-07-18,2026-08-18,returned
LIB00079,Operating Systems: Concepts and Applications Vol 6,MECH26B078,2026-07-19,2026-08-19,issued
LIB00080,Computer Networks: Concepts and Applications Vol 6,MECH26A079,2026-07-20,2026-08-20,issued
LIB00081,Artificial Intelligence: Concepts and Applications Vol 6,MECH26B080,2026-07-01,2026-08-01,issued
LIB00082,Machine Learning: Concepts and Applications Vol 6,CA26A081,2026-07-02,2026-08-02,issued
LIB00083,Cloud Computing: Concepts and Applications Vol 6,CA26B082,2026-07-03,2026-08-03,issued
LIB00084,Digital Electronics: Concepts and Applications Vol 6,CA26A083,2026-07-04,2026-08-04,issued
LIB00085,Engineering Mathematics: Concepts and Applications Vol 6,CA26B084,2026-07-05,2026-08-05,returned
LIB00086,Business Management: Concepts and Applications Vol 6,BA26A085,2026-07-06,2026-08-06,issued
LIB00087,Financial Accounting: Concepts and Applications Vol 6,BA26B086,2026-07-07,2026-08-07,issued
LIB00088,Marketing Management: Concepts and Applications Vol 6,BA26A087,2026-07-08,2026-08-08,issued
