exam_name,academic_year_label,subject_code,roll_number,marks_obtained,is_absent,is_locked
Unit Test 1,2026-27,CSE101,CSE26A001,37,false,false
Unit Test 1,2026-27,CSE101,CSE26B002,45,false,false
Unit Test 1,2026-27,CSE101,CSE26A003,31,false,false
Unit Test 1,2026-27,CSE101,CSE26B004,39,false,false
Unit Test 1,2026-27,CSE101,CSE26A033,47,false,false
Unit Test 1,2026-27,CSE101,CSE26B034,33,false,false
Unit Test 1,2026-27,CSE101,CSE26A035,41,false,false
Unit Test 1,2026-27,CSE101,CSE26B036,49,false,false
Unit Test 1,2026-27,CSE101,CSE26A065,35,false,false
Unit Test 1,2026-27,CSE101,CSE26B066,43,false,false
Unit Test 1,2026-27,CSE101,CSE26A067,50,false,false
Unit Test 1,2026-27,CSE101,CSE26B068,37,false,false
Unit Test 1,2026-27,CSE101,CSE26A097,45,false,false
Unit Test 1,2026-27,CSE101,CSE26B098,31,false,false
Unit Test 1,2026-27,CSE101,CSE26A099,,true,false
Unit Test 1,2026-27,CSE101,CSE26B100,47,false,false
Unit Test 1,2026-27,CSE101,CSE26A129,33,false,false
Unit Test 1,2026-27,CSE101,CSE26B130,41,false,false
Unit Test 1,2026-27,CSE102,CSE26A001,33,false,false
Unit Test 1,2026-27,CSE102,CSE26B002,41,false,false
Unit Test 1,2026-27,CSE102,CSE26A003,49,false,false
Unit Test 1,2026-27,CSE102,CSE26B004,35,false,false
Unit Test 1,2026-27,CSE102,CSE26A033,43,false,false
Unit Test 1,2026-27,CSE102,CSE26B034,,true,false
Unit Test 1,2026-27,CSE102,CSE26A035,37,false,false
Unit Test 1,2026-27,CSE102,CSE26B036,45,false,false
Unit Test 1,2026-27,CSE102,CSE26A065,31,false,false
Unit Test 1,2026-27,CSE102,CSE26B066,39,false,false
Unit Test 1,2026-27,CSE102,CSE26A067,47,false,false
Unit Test 1,2026-27,CSE102,CSE26B068,33,false,false
Unit Test 1,2026-27,CSE102,CSE26A097,41,false,false
Unit Test 1,2026-27,CSE102,CSE26B098,49,false,false
Unit Test 1,2026-27,CSE102,CSE26A099,35,false,false
Unit Test 1,2026-27,CSE102,CSE26B100,43,false,false
Unit Test 1,2026-27,CSE102,CSE26A129,50,false,false
Unit Test 1,2026-27,CSE102,CSE26B130,37,false,false
Unit Test 1,2026-27,CSE103,CSE26A001,50,false,false
Unit Test 1,2026-27,CSE103,CSE26B002,37,false,false
Unit Test 1,2026-27,CSE103,CSE26A003,45,false,false
Unit Test 1,2026-27,CSE103,CSE26B004,31,false,false
Unit Test 1,2026-27,CSE103,CSE26A033,39,false,false
Unit Test 1,2026-27,CSE103,CSE26B034,47,false,false
Unit Test 1,2026-27,CSE103,CSE26A035,33,false,false
Unit Test 1,2026-27,CSE103,CSE26B036,41,false,false
Unit Test 1,2026-27,CSE103,CSE26A065,49,false,false
Unit Test 1,2026-27,CSE103,CSE26B066,35,false,false
Unit Test 1,2026-27,CSE103,CSE26A067,43,false,false
Unit Test 1,2026-27,CSE103,CSE26B068,50,false,false
Unit Test 1,2026-27,CSE103,CSE26A097,37,false,false
Unit Test 1,2026-27,CSE103,CSE26B098,45,false,false
Unit Test 1,2026-27,CSE103,CSE26A099,31,false,false
Unit Test 1,2026-27,CSE103,CSE26B100,39,false,false
Unit Test 1,2026-27,CSE103,CSE26A129,47,false,false
Unit Test 1,2026-27,CSE103,CSE26B130,33,false,false
Unit Test 1,2026-27,CSE104,CSE26A001,47,false,false
Unit Test 1,2026-27,CSE104,CSE26B002,33,false,false
Unit Test 1,2026-27,CSE104,CSE26A003,41,false,false
Unit Test 1,2026-27,CSE104,CSE26B004,49,false,false
Unit Test 1,2026-27,CSE104,CSE26A033,35,false,false
Unit Test 1,2026-27,CSE104,CSE26B034,43,false,false
Unit Test 1,2026-27,CSE104,CSE26A035,50,false,false
Unit Test 1,2026-27,CSE104,CSE26B036,37,false,false
