roll_number,fee_type_name,course_code,academic_year_label,amount_due,due_date
CSE26A001,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A001,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B002,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B002,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26A003,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A003,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B004,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B004,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A005,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A005,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B006,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B006,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A007,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A007,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B008,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B008,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A009,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A009,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B010,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B010,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A011,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A011,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B012,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B012,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A013,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A013,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B014,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B014,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A015,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A015,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B016,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B016,Examination Fee,BTECH,2026-27,2500,2026-08-25
CA26A017,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A017,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B018,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B018,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26A019,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A019,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B020,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B020,Examination Fee,BCA,2026-27,2500,2026-08-25
BA26A021,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A021,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B022,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B022,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26A023,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A023,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B024,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B024,Examination Fee,BBA,2026-27,2500,2026-08-25
AT26A025,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A025,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B026,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B026,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26A027,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A027,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B028,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B028,Examination Fee,BCOM,2026-27,2500,2026-08-25
SE26A029,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A029,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B030,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B030,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26A031,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A031,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B032,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B032,Examination Fee,MCA,2026-27,2500,2026-08-25
CSE26A033,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A033,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B034,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B034,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26A035,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A035,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B036,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B036,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A037,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A037,Examination Fee,BTECH,2026-27,2500,2026-08-25
