academic_year_label,teacher_employee_code,class_name,section_name,subject_code,day_of_week,start_time,end_time,room_no,is_active
2026-27,FAC001,CSE Semester 1,A,CSE101,tuesday,09:00,10:00,R-101,true
2026-27,FAC002,CSE Semester 1,B,CSE102,wednesday,10:00,11:00,R-102,true
2026-27,FAC003,CSE Semester 1,A,CSE103,thursday,11:00,12:00,R-103,true
2026-27,FAC004,CSE Semester 1,B,CSE104,friday,12:00,13:00,R-104,true
2026-27,FAC005,CSE Semester 1,A,CSE105,monday,13:00,14:00,R-105,true
2026-27,FAC006,CSE Semester 2,B,CSE201,tuesday,08:00,09:00,R-106,true
2026-27,FAC007,CSE Semester 2,A,CSE202,wednesday,09:00,10:00,R-107,true
2026-27,FAC008,CSE Semester 2,B,CSE203,thursday,10:00,11:00,R-108,true
2026-27,FAC009,CSE Semester 2,A,CSE204,friday,11:00,12:00,R-109,true
2026-27,FAC010,CSE Semester 2,B,CSE205,monday,12:00,13:00,R-110,true
2026-27,FAC011,AIML Semester 1,A,AIML101,tuesday,13:00,14:00,R-111,true
2026-27,FAC012,AIML Semester 1,B,AIML102,wednesday,08:00,09:00,R-112,true
2026-27,FAC013,AIML Semester 1,A,AIML103,thursday,09:00,10:00,R-113,true
2026-27,FAC014,AIML Semester 1,B,AIML104,friday,10:00,11:00,R-114,true
2026-27,FAC015,AIML Semester 1,A,AIML105,monday,11:00,12:00,R-115,true
2026-27,FAC016,AIML Semester 2,B,AIML201,tuesday,12:00,13:00,R-116,true
2026-27,FAC017,AIML Semester 2,A,AIML202,wednesday,13:00,14:00,R-117,true
2026-27,FAC018,AIML Semester 2,B,AIML203,thursday,08:00,09:00,R-118,true
2026-27,FAC019,AIML Semester 2,A,AIML204,friday,09:00,10:00,R-119,true
2026-27,FAC020,AIML Semester 2,B,AIML205,monday,10:00,11:00,R-120,true
2026-27,FAC021,ECE Semester 1,A,ECE101,tuesday,11:00,12:00,R-121,true
2026-27,FAC022,ECE Semester 1,B,ECE102,wednesday,12:00,13:00,R-122,true
2026-27,FAC023,ECE Semester 1,A,ECE103,thursday,13:00,14:00,R-123,true
2026-27,FAC024,ECE Semester 1,B,ECE104,friday,08:00,09:00,R-124,true
2026-27,FAC025,ECE Semester 1,A,ECE105,monday,09:00,10:00,R-125,true
2026-27,FAC026,ECE Semester 2,B,ECE201,tuesday,10:00,11:00,R-126,true
2026-27,FAC027,ECE Semester 2,A,ECE202,wednesday,11:00,12:00,R-127,true
2026-27,FAC028,ECE Semester 2,B,ECE203,thursday,12:00,13:00,R-128,true
2026-27,FAC029,ECE Semester 2,A,ECE204,friday,13:00,14:00,R-129,true
2026-27,FAC030,ECE Semester 2,B,ECE205,monday,08:00,09:00,R-130,true
2026-27,FAC031,MECH Semester 1,A,MECH101,tuesday,09:00,10:00,R-131,true
2026-27,FAC032,MECH Semester 1,B,MECH102,wednesday,10:00,11:00,R-132,true
2026-27,FAC033,MECH Semester 1,A,MECH103,thursday,11:00,12:00,R-133,true
2026-27,FAC034,MECH Semester 1,B,MECH104,friday,12:00,13:00,R-134,true
2026-27,FAC035,MECH Semester 1,A,MECH105,monday,13:00,14:00,R-135,true
2026-27,FAC036,MECH Semester 2,B,MECH201,tuesday,08:00,09:00,R-136,true
2026-27,FAC001,MECH Semester 2,A,MECH202,wednesday,09:00,10:00,R-137,true
2026-27,FAC002,MECH Semester 2,B,MECH203,thursday,10:00,11:00,R-138,true
2026-27,FAC003,MECH Semester 2,A,MECH204,friday,11:00,12:00,R-139,true
2026-27,FAC004,MECH Semester 2,B,MECH205,monday,12:00,13:00,R-140,true
2026-27,FAC005,CA Semester 1,A,CA101,tuesday,13:00,14:00,R-141,true
2026-27,FAC006,CA Semester 1,B,CA102,wednesday,08:00,09:00,R-142,true
2026-27,FAC007,CA Semester 1,A,CA103,thursday,09:00,10:00,R-143,true
2026-27,FAC008,CA Semester 1,B,CA104,friday,10:00,11:00,R-144,true
2026-27,FAC009,CA Semester 1,A,CA105,monday,11:00,12:00,R-145,true
2026-27,FAC010,CA Semester 2,B,CA201,tuesday,12:00,13:00,R-146,true
