attendance_date,session,period,teacher_employee_code,class_name,section_name,subject_code,roll_number,status,remarks
2026-07-02,Forenoon,2,FAC001,CSE Semester 1,A,CSE101,CSE26A001,present,
2026-07-02,Forenoon,2,FAC001,CSE Semester 1,A,CSE101,CSE26B002,present,
2026-07-02,Forenoon,2,FAC001,CSE Semester 1,A,CSE101,CSE26A003,present,
2026-07-02,Forenoon,2,FAC001,CSE Semester 1,A,CSE101,CSE26B004,present,
2026-07-02,Forenoon,2,FAC001,CSE Semester 1,A,CSE101,CSE26A033,late,Marked during mock attendance test
2026-07-03,Afternoon,3,FAC002,CSE Semester 1,B,CSE102,CSE26A001,present,
2026-07-03,Afternoon,3,FAC002,CSE Semester 1,B,CSE102,CSE26B002,present,
2026-07-03,Afternoon,3,FAC002,CSE Semester 1,B,CSE102,CSE26A003,present,
2026-07-03,Afternoon,3,FAC002,CSE Semester 1,B,CSE102,CSE26B004,present,
2026-07-03,Afternoon,3,FAC002,CSE Semester 1,B,CSE102,CSE26A033,late,Marked during mock attendance test
2026-07-04,Forenoon,4,FAC003,CSE Semester 1,A,CSE103,CSE26A001,present,
2026-07-04,Forenoon,4,FAC003,CSE Semester 1,A,CSE103,CSE26B002,present,
2026-07-04,Forenoon,4,FAC003,CSE Semester 1,A,CSE103,CSE26A003,present,
2026-07-04,Forenoon,4,FAC003,CSE Semester 1,A,CSE103,CSE26B004,present,
2026-07-04,Forenoon,4,FAC003,CSE Semester 1,A,CSE103,CSE26A033,late,Marked during mock attendance test
2026-07-05,Afternoon,5,FAC004,CSE Semester 1,B,CSE104,CSE26A001,present,
2026-07-05,Afternoon,5,FAC004,CSE Semester 1,B,CSE104,CSE26B002,present,
2026-07-05,Afternoon,5,FAC004,CSE Semester 1,B,CSE104,CSE26A003,present,
2026-07-05,Afternoon,5,FAC004,CSE Semester 1,B,CSE104,CSE26B004,present,
2026-07-05,Afternoon,5,FAC004,CSE Semester 1,B,CSE104,CSE26A033,late,Marked during mock attendance test
2026-07-06,Forenoon,6,FAC005,CSE Semester 1,A,CSE105,CSE26A001,present,
2026-07-06,Forenoon,6,FAC005,CSE Semester 1,A,CSE105,CSE26B002,present,
2026-07-06,Forenoon,6,FAC005,CSE Semester 1,A,CSE105,CSE26A003,present,
