course_code,branch_code,class_name,name,max_strength
BTECH,CSE,CSE Semester 1,A,60
BTECH,CSE,CSE Semester 1,B,60
BTECH,CSE,CSE Semester 2,A,60
BTECH,CSE,CSE Semester 2,B,60
BTECH,AIML,AIML Semester 1,A,60
BTECH,AIML,AIML Semester 1,B,60
BTECH,AIML,AIML Semester 2,A,60
BTECH,AIML,AIML Semester 2,B,60
BTECH,ECE,ECE Semester 1,A,60
BTECH,ECE,ECE Semester 1,B,60
BTECH,ECE,ECE Semester 2,A,60
BTECH,ECE,ECE Semester 2,B,60
BTECH,MECH,MECH Semester 1,A,60
BTECH,MECH,MECH Semester 1,B,60
BTECH,MECH,MECH Semester 2,A,60
BTECH,MECH,MECH Semester 2,B,60
BCA,CA,CA Semester 1,A,60
BCA,CA,CA Semester 1,B,60
BCA,CA,CA Semester 2,A,60
BCA,CA,CA Semester 2,B,60
BBA,BA,BA Semester 1,A,60
BBA,BA,BA Semester 1,B,60
BBA,BA,BA Semester 2,A,60
BBA,BA,BA Semester 2,B,60
BCOM,AT,AT Semester 1,A,60
BCOM,AT,AT Semester 1,B,60
BCOM,AT,AT Semester 2,A,60
BCOM,AT,AT Semester 2,B,60
MCA,SE,SE Semester 1,A,50
MCA,SE,SE Semester 1,B,50
MCA,SE,SE Semester 2,A,50
MCA,SE,SE Semester 2,B,50
